"Prompt ID","Prompt Type","Prompt Content","Application Scenario","Creator","Creation Date","Last Modified Date","Status","Remarks"
"P-20260116-001","technical","优化数据库查询性能，减少响应时间，包括索引优化、查询重写和缓存策略","数据库性能优化项目","张三/数据库管理员","2026-01-16","2026-01-20","approved","已在实际项目中验证有效"
"P-20260116-002","business","制定客户满意度调查问卷，包含关键指标和反馈收集机制","客户关系管理系统改进","李四/产品经理","2026-01-16","2026-01-18","reviewed","等待业务部门确认"
"P-20260117-001","technical","实现API接口的限流和熔断机制，确保系统稳定性","微服务架构优化","王五/后端开发","2026-01-17","2026-01-19","approved","已在生产环境部署"
"P-20260117-002","business","设计用户注册流程优化方案，提升转化率","用户增长项目","赵六/用户体验设计师","2026-01-17","2026-01-17","draft","初步方案，需要进一步细化"
"P-20260118-001","technical","配置CI/CD流水线，实现自动化测试和部署","DevOps流程改进","钱七/运维工程师","2026-01-18","2026-01-20","approved","已集成到开发流程中"
"P-20260118-002","business","制定数据分析和报告生成规范","业务智能分析项目","孙八/数据分析师","2026-01-18","2026-01-19","reviewed","等待管理层审批"
"P-20260119-001","technical","实现前端性能监控和错误追踪系统","前端性能优化","周九/前端开发","2026-01-19","2026-01-20","approved","已上线运行"
"P-20260119-002","business","设计跨部门协作流程和沟通机制","组织效率提升项目","吴十/项目经理","2026-01-19","2026-01-20","draft","需要与各部门协调"
"P-20260120-001","technical","配置安全扫描和漏洞检测工具","系统安全加固","郑十一/安全工程师","2026-01-20","2026-01-20","reviewed","等待安全团队评估"
"P-20260120-002","business","制定产品定价策略和促销方案","市场营销活动","王十二/市场专员","2026-01-20","2026-01-20","draft","需要市场调研数据支持"
